Dependents,LoanAmount,CreditHistory,LoanStatus,TotalIncome,IncomeLoanRatio,LoanTermYears,Has_CoApplicantIncome,Gender_Male,Married_Yes,Education_Not Graduate,PropertyArea_Semiurban,PropertyArea_Urban,SelfEmployed_Yes
0.0,146.36949152542374,1.0,1,5849.0,25.024703628897885,30.0,0,True,False,False,False,True,False
1.0,128.0,1.0,0,6091.0,21.0146117222131,30.0,1,True,True,False,False,False,False
0.0,66.0,1.0,1,3000.0,22.0,30.0,0,True,True,False,False,True,True
0.0,120.0,1.0,1,4941.0,24.286581663630844,30.0,1,True,True,True,False,True,False
0.0,141.0,1.0,1,6000.0,23.5,30.0,0,True,False,False,False,True,False
2.0,262.5,1.0,1,9613.0,27.30677207947571,30.0,1,True,True,False,False,True,True
0.0,95.0,1.0,1,3849.0,24.68173551571837,30.0,1,True,True,True,False,True,False
3.0,158.0,0.0,0,5540.0,28.51985559566787,30.0,1,True,True,False,True,False,False
2.0,168.0,1.0,1,5532.0,30.36876355748373,30.0,1,True,True,False,False,True,False
1.0,262.5,1.0,0,15921.75,16.486881153139574,30.0,1,True,True,False,True,False,False
2.0,70.0,1.0,1,3900.0,17.94871794871795,30.0,1,True,True,False,False,True,False
2.0,109.0,1.0,1,4340.0,25.11520737327189,30.0,1,True,True,False,False,True,False
2.0,200.0,1.0,1,8833.0,22.642363862787274,30.0,1,True,True,False,False,True,False
0.0,114.0,1.0,0,4693.0,24.291497975708502,30.0,1,True,False,False,False,False,False
2.0,17.0,1.0,1,2385.0,7.127882599580713,10.0,1,True,True,False,False,True,False
0.0,125.0,1.0,1,4950.0,25.252525252525253,30.0,0,True,False,False,False,True,False
1.0,100.0,0.8413547237076648,1,3596.0,27.808676307007786,20.0,0,True,False,True,False,True,False
0.0,76.0,0.0,0,3510.0,21.65242165242165,30.0,0,False,False,False,False,True,False
0.0,133.0,1.0,0,4887.0,27.215060364231636,30.0,0,True,True,True,False,False,False
0.0,115.0,1.0,1,6100.0,18.852459016393443,28.492462311557787,1,True,True,False,False,True,False
0.0,104.0,0.0,0,7660.0,13.577023498694517,30.0,0,True,True,True,False,True,False
1.0,262.5,1.0,1,11580.0,22.66839378238342,30.0,1,True,True,False,False,True,False
0.0,116.0,0.0,0,4511.0,25.71491908667701,30.0,1,True,True,True,True,False,False
2.0,112.0,0.0,0,5282.0,21.204089360090876,30.0,1,True,True,True,False,False,False
1.0,151.0,0.8413547237076648,0,6642.0,22.73411623005119,30.0,1,True,True,False,True,False,False
0.0,191.0,1.0,1,9560.0,19.97907949790795,30.0,0,True,True,False,True,False,True
0.0,122.0,1.0,1,5052.0,24.14885193982581,30.0,1,True,True,False,True,False,False
2.0,110.0,1.0,1,5266.0,20.888720091150777,30.0,1,True,True,True,False,True,False
0.0,35.0,1.0,0,1442.0,24.271844660194176,30.0,0,True,False,True,False,True,False
2.0,120.0,1.0,1,5833.0,20.5726041488085,30.0,1,False,False,False,True,False,False
1.0,201.0,0.8413547237076648,0,7535.0,26.675514266755144,30.0,1,True,True,False,False,True,False
0.0,74.0,1.0,0,3167.0,23.365961477739184,30.0,0,True,False,False,False,True,False
1.0,106.0,1.0,0,4692.0,22.59164535379369,30.0,0,True,False,False,False,False,True
0.0,114.0,1.0,1,5167.0,22.063092703696537,30.0,1,True,True,False,True,False,False
3.0,262.5,1.0,0,13161.75,19.94415636218588,30.0,1,True,False,False,False,False,False
0.0,146.36949152542374,1.0,1,4342.0,33.7101546580893,30.0,1,True,True,False,False,True,False
0.0,100.0,0.0,0,3158.0,31.665611146295124,28.492462311557787,1,True,True,False,False,True,False
